Age,Employ_type,Education,Education_years,Marriage,Occupation,Relationship,Race,Gender,Capital-gain,Captial-loss,hours-per-week,Income
53, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,38,0
44, Private, Masters,14, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40,0
41, State-gov, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40,0
29, Private, Assoc-voc,11, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,43,0
25, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, Other, Female,0,0,40,0
18, Private, HS-grad,9, Never-married, Other-service, Own-child, White, Female,0,0,30,0
47, Private, Prof-school,15, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,1902,60,1
50, Federal-gov, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,55,1
47, Self-emp-inc, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,60,0
43, Private, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40,1
46, Private, 5th-6th,3, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40,0
35, Private, Assoc-voc,11, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40,0
41, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,48,0
30, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,5013,0,40,0
30, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,2407,0,40,0
32, ?, 7th-8th,4, Married-spouse-absent, ?, Not-in-family, White, Male,0,0,40,0
48, Private, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40,0
42, Private, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45,1
29, Private, Some-college,10, Divorced, Tech-support, Not-in-family, White, Male,0,0,58,0
36, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40,0
28, Private, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40,0
53, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40,1
49, Self-emp-inc, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50,1
25, ?, Some-college,10, Never-married, ?, Own-child, White, Male,0,0,40,0
19, Private, Some-college,10, Never-married, Prof-specialty, Own-child, White, Male,0,0,32,0
31, Private, Bachelors,13, Separated, Sales, Own-child, Black, Female,0,0,40,0
29, Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,70,1
23, Private, Some-college,10, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40,0
79, Private, Some-college,10, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,0,0,20,0
27, Private, HS-grad,9, Never-married, Other-service, Own-child, White, Male,0,0,40,0
40, Private, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40,0
67, ?, 10th,6, Married-civ-spouse, ?, Husband, White, Male,0,0,2,0
18, Private, 11th,7, Never-married, Other-service, Own-child, White, Female,0,0,22,0
31, Local-gov, 7th-8th,4, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40,0
18, Private, HS-grad,9, Never-married, Sales, Not-in-family, White, Male,0,0,30,0
52, Private, Bachelors,13, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40,0
46, Private, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40,0
59, Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,48,0
44, Private, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Female,14344,0,40,1
53, Private, HS-grad,9, Divorced, Sales, Own-child, White, Female,0,0,35,0
49, Local-gov, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40,1
33, Private, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50,0
30, Private, 9th,5, Never-married, Sales, Not-in-family, White, Male,0,0,40,0
43, Federal-gov, Doctorate,16, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50,1
57, Private, Assoc-voc,11, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40,0
37, Private, Some-college,10, Divorced, Craft-repair, Unmarried, White, Female,0,0,40,0
28, Private, Some-college,10, Divorced, Machine-op-inspct, Unmarried, Black, Female,0,0,25,0
30, Private, HS-grad,9, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Female,0,1573,35,0
34, Local-gov, Bachelors,13, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40,1
29, Local-gov, Some-college,10, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,50,0
48, Self-emp-not-inc, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,60,1
37, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,48,1
48, Private, Assoc-acdm,12, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40,0
32, Federal-gov, HS-grad,9, Never-married, Other-service, Own-child, Black, Male,0,0,40,0
76, Private, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40,1
44, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,60,1
47, Self-emp-not-inc, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50,0
20, Private, Some-college,10, Never-married, Tech-support, Own-child, White, Female,0,0,40,0
29, Private, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40,0
32, Self-emp-inc, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,7688,0,40,1
17, ?, 10th,6, Never-married, ?, Own-child, White, Female,34095,0,32,0
30, Private, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40,0
31, Local-gov, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40,0
42, Private, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40,0
24, Private, Bachelors,13, Never-married, Sales, Other-relative, White, Male,0,0,40,0
38, Private, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40,1
56, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,1887,50,1
28, Private, Some-college,10, Married-civ-spouse, Sales, Wife, White, Female,4064,0,25,0
36, Private, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,40,0
53, Private, 9th,5, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50,0
56, Self-emp-inc, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,50,0
49, Local-gov, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40,1
55, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,56,0
22, Private, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,41,0
21, Private, Some-college,10, Never-married, Other-service, Own-child, White, Female,0,0,40,0
40, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60,0
30, Private, Bachelors,13, Never-married, Exec-managerial, Own-child, Black, Male,0,0,40,0
29, State-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50,1
19, Private, Some-college,10, Never-married, Other-service, Own-child, Black, Male,0,0,35,0
47, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40,1
20, Private, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,0,1719,28,0
31, Private, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40,1
35, ?, HS-grad,9, Married-civ-spouse, ?, Husband, White, Male,0,0,40,0
39, Private, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40,0
28, Private, Assoc-acdm,12, Never-married, Sales, Not-in-family, White, Female,0,0,60,0
24, Private, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0,1762,40,0
38, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,4386,0,35,0
37, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,50,0
46, Private, Assoc-acdm,12, Divorced, Tech-support, Not-in-family, Black, Female,0,0,36,0
38, Federal-gov, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40,1
43, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60,0
27, Private, Assoc-voc,11, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,35,0
20, Private, Some-college,10, Never-married, Sales, Own-child, White, Male,0,0,20,0
49, Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40,1
61, Self-emp-inc, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40,0
27, Private, Some-college,10, Never-married, Sales, Own-child, White, Female,0,0,40,0
19, Private, Some-college,10, Never-married, Other-service, Own-child, White, Male,0,0,30,0
45, Private, Assoc-voc,11, Never-married, Prof-specialty, Not-in-family, White, Female,0,1564,40,1
70, Private, Some-college,10, Never-married, Tech-support, Other-relative, White, Male,0,0,40,0
31, Private, HS-grad,9, Never-married, Transport-moving, Unmarried, Black, Female,0,0,30,0
22, Private, Some-college,10, Married-civ-spouse, Other-service, Husband, White, Male,0,0,24,0
36, Private, HS-grad,9, Widowed, Other-service, Unmarried, White, Female,0,0,24,0
64, Private, 11th,7, Married-civ-spouse, Craft-repair, Husband, White, Male,0,2179,40,0
43, ?, Some-college,10, Divorced, ?, Not-in-family, White, Female,0,0,40,0
47, Local-gov, Some-college,10, Divorced, Adm-clerical, Unmarried, White, Female,0,0,38,0
34, Private, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40,0
33, Private, Bachelors,13, Never-married, Exec-managerial, Other-relative, Asian-Pac-Islander, Female,0,0,40,0
21, Private, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,0,0,35,0
52, ?, HS-grad,9, Divorced, ?, Not-in-family, White, Male,0,0,45,1
48, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,46,0
23, Private, Bachelors,13, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40,0
71, Self-emp-not-inc, Some-college,10, Separated, Sales, Unmarried, Black, Male,0,1816,2,0
29, Private, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male,0,0,60,0
42, Private, Bachelors,13, Separated, Other-service, Other-relative, Black, Male,0,0,50,0
68, ?, 1st-4th,2, Divorced, ?, Not-in-family, White, Female,0,0,20,0
25, Private, HS-grad,9, Never-married, Other-service, Unmarried, White, Female,0,0,40,0
44, Self-emp-inc, Masters,14, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40,0
28, Private, HS-grad,9, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,40,0
45, Self-emp-not-inc, Masters,14, Married-civ-spouse, Sales, Husband, White, Male,0,0,40,1
36, Private, Some-college,10, Divorced, Other-service, Unmarried, White, Female,0,0,40,0
39, Federal-gov, Assoc-acdm,12, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,42,0
46, State-gov, Masters,14, Widowed, Protective-serv, Unmarried, White, Male,0,0,40,0
18, Private, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,16,0
66, Local-gov, Assoc-voc,11, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,20,0
27, Private, HS-grad,9, Never-married, Other-service, Not-in-family, White, Male,0,1980,40,0
28, State-gov, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40,0
51, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,1977,40,1
27, Private, Bachelors,13, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50,0
28, State-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40,1
27, Private, HS-grad,9, Married-spouse-absent, Sales, Unmarried, White, Female,0,0,25,0
21, Private, HS-grad,9, Never-married, Craft-repair, Own-child, Black, Male,0,0,40,0
34, Private, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, Black, Male,0,0,40,0
18, Private, HS-grad,9, Never-married, Other-service, Own-child, White, Male,0,0,12,0
33, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,65,0
44, Local-gov, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,38,1
43, Private, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40,0
30, Private, Some-college,10, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,45,0
40, Private, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40,1
37, Federal-gov, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,42,1
34, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,40,0
41, Self-emp-not-inc, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40,0
53, ?, Bachelors,13, Divorced, ?, Not-in-family, White, Female,0,0,50,0
31, Private, Masters,14, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,50,0
58, State-gov, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,1,1
38, Private, Some-college,10, Divorced, Machine-op-inspct, Not-in-family, Black, Female,0,0,28,0
24, Private, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40,0
41, Local-gov, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40,0
47, Private, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45,0
41, Federal-gov, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,24,0
23, Private, 5th-6th,3, Married-civ-spouse, Transport-moving, Other-relative, White, Male,0,0,40,0
36, Private, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40,0
40, Federal-gov, Masters,14, Never-married, Exec-managerial, Not-in-family, White, Female,14084,0,55,1
35, Private, Masters,14, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,7298,0,40,1
24, Self-emp-not-inc, HS-grad,9, Never-married, Sales, Not-in-family, White, Male,0,0,40,0
26, Private, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,0,1876,40,0
19, ?, HS-grad,9, Never-married, ?, Own-child, White, Male,0,0,40,0
51, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50,1
42, Local-gov, Some-college,10, Never-married, Prof-specialty, Not-in-family, White, Female,0,1340,40,0
37, State-gov, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,0,0,35,0
18, Private, 11th,7, Never-married, Sales, Own-child, White, Female,0,0,40,0
36, Private, Bachelors,13, Married-civ-spouse, Other-service, Husband, Black, Male,7298,0,36,1
35, Private, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male,0,0,60,0
58, Self-emp-inc, HS-grad,9, Married-civ-spouse, Sales, Wife, White, Female,15024,0,35,1
17, Private, 11th,7, Never-married, Sales, Own-child, White, Female,0,0,12,0
44, Local-gov, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40,0
37, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40,1
35, Private, Some-college,10, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40,0
60, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40,0
54, Self-emp-inc, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40,1
37, Private, Bachelors,13, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,60,1
50, Private, Assoc-acdm,12, Divorced, Sales, Not-in-family, White, Female,0,0,40,0
38, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,50,0
45, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,55,0
25, Private, 10th,6, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40,0
31, Private, Some-college,10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40,0
64, ?, 1st-4th,2, Divorced, ?, Not-in-family, White, Male,0,0,40,0
90, Private, HS-grad,9, Never-married, Other-service, Not-in-family, Black, Male,0,2206,40,0
54, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,20,0
53, Local-gov, Preschool,1, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,35,0
18, Private, HS-grad,9, Never-married, Sales, Own-child, White, Female,0,0,40,0
60, ?, 10th,6, Divorced, ?, Not-in-family, Amer-Indian-Eskimo, Female,0,0,10,0
66, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,1409,0,50,0
75, Private, Assoc-voc,11, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,20,0
65, Private, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40,0
35, Private, 11th,7, Separated, Transport-moving, Not-in-family, Black, Male,3674,0,40,0
41, Private, HS-grad,9, Divorced, Sales, Unmarried, Black, Female,0,0,38,0
25, Private, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,42,0
33, Private, Some-college,10, Divorced, Craft-repair, Other-relative, Other, Female,0,0,40,0
28, Private, Prof-school,15, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,55,1
59, State-gov, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40,0
40, State-gov, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,38,0
41, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50,1
38, Local-gov, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70,1
23, Private, HS-grad,9, Never-married, Transport-moving, Own-child, White, Male,0,0,40,0
40, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40,1
41, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,20,0
24, State-gov, Assoc-acdm,12, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,50,0
20, ?, Some-college,10, Never-married, ?, Own-child, White, Male,0,0,20,0
38, Private, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,0,1741,40,0
56, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,35,0
58, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,45,1
32, Private, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0,0,34,0
40, Private, Assoc-acdm,12, Married-civ-spouse, Tech-support, Husband, White, Male,0,1977,60,1
45, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40,0
41, Private, Prof-school,15, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40,1
42, Private, Bachelors,13, Married-civ-spouse, Adm-clerical, Wife, Black, Female,0,0,40,0
59, Local-gov, 10th,6, Widowed, Other-service, Unmarried, Black, Female,0,0,30,0
19, Local-gov, Some-college,10, Never-married, Adm-clerical, Own-child, White, Male,0,0,40,0
58, Private, Some-college,10, Never-married, Transport-moving, Not-in-family, White, Male,0,0,20,0
42, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,0,40,1
20, Private, HS-grad,9, Never-married, Other-service, Own-child, White, Female,0,0,40,0
32, Private, HS-grad,9, Separated, Other-service, Not-in-family, White, Female,0,0,30,0
45, Private, Assoc-voc,11, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,45,0
50, Private, 7th-8th,4, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40,0
36, Private, Bachelors,13, Divorced, Prof-specialty, Own-child, White, Female,0,0,40,0
45, Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,60,0
17, Private, 11th,7, Never-married, Other-service, Own-child, White, Male,0,0,12,0
59, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,4064,0,40,0
26, Private, 11th,7, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40,0
37, Self-emp-inc, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,75,1
19, ?, Some-college,10, Never-married, ?, Own-child, White, Male,0,0,24,0
64, Private, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40,1
33, Private, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,45,0
33, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Wife, White, Female,0,0,40,1
61, Private, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40,1
17, Private, 9th,5, Never-married, Other-service, Own-child, White, Male,1055,0,24,0
50, Self-emp-not-inc, Masters,14, Married-civ-spouse, Farming-fishing, Husband, White, Male,2407,0,98,0
27, Local-gov, Masters,14, Never-married, Prof-specialty, Own-child, White, Male,0,0,35,0
30, Private, HS-grad,9, Divorced, Prof-specialty, Own-child, White, Female,0,0,40,0
43, Private, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,40,0
44, Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,0,40,1
35, Private, Some-college,10, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40,0
25, Private, Some-college,10, Never-married, Tech-support, Own-child, White, Female,0,0,40,0
24, Private, Some-college,10, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,7298,0,48,1
22, Private, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,15,0
42, Local-gov, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,5178,0,40,1
34, Private, Assoc-acdm,12, Divorced, Sales, Unmarried, Black, Female,0,0,45,0
60, Private, Bachelors,13, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,42,0
21, Private, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40,0
57, Federal-gov, Masters,14, Married-civ-spouse, Sales, Husband, White, Male,15024,0,40,1
41, Private, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60,1
50, Private, Some-college,10, Divorced, Other-service, Not-in-family, White, Male,0,0,45,0
25, Private, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40,0
50, Private, 7th-8th,4, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40,0
36, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45,0
31, Private, HS-grad,9, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40,0
29, Local-gov, Bachelors,13, Never-married, Protective-serv, Not-in-family, White, Male,0,0,56,0
21, Private, Some-college,10, Never-married, Sales, Own-child, White, Male,0,0,45,0
